出售單位,發電設備,購買者,能源類型,移轉量(MWh),憑證發放年份,移轉日期
台灣新日化股份有限公司,台灣新日化太陽能發電設備,美商高盛亞洲證券有限公司台北分公司,太陽能,3,2025,2026-04-07
台灣新日化股份有限公司,台灣新日化太陽能發電設備,新加坡商輝達開發有限公司台灣分公司,太陽能,71,2025,2026-04-07
臺北市內湖區麗湖國民小學,臺北市內湖區麗湖國民小學,博仲法律事務所,太陽能,1,2025,2026-04-02
東豐纖維企業股份有限公司,東豐纖維路竹廠三期439.52KWp,台灣艾司摩爾股份有限公司,太陽能,1,2025,2026-04-02
東豐纖維企業股份有限公司,東豐纖維路竹廠三期439.52KWp,台灣艾司摩爾股份有限公司,太陽能,7,2025,2026-04-02
易宏熱鍍鋅工業股份有限公司,易宏熱鍍鋅工業股份有限公司,國海輝固股份有限公司,太陽能,9,2025,2026-04-02
東豐纖維企業股份有限公司,東豐纖維企業股份有限公司 路竹織染廠,台灣艾司摩爾股份有限公司,太陽能,19,2025,2026-04-02
強新工業股份有限公司,強新七廠,奧美廣告股份有限公司,太陽能,193,2025,2026-04-02
東豐纖維企業股份有限公司,東豐纖維路竹廠二期250.24KWp,台灣艾司摩爾股份有限公司,太陽能,43,2025,2026-04-02
財團法人桃園市私立脊髓損傷潛能發展中心,脊髓中心太陽光電系統,台灣大哥大股份有限公司,太陽能,67.44,2025,2026-03-31
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,澳商澳盛銀行集團股份有限公司,生質能,480,2025,2026-03-31
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,香港商雷夫羅倫有限公司台灣分公司,生質能,"1,000",2025,2026-03-30
旺欉鋁業有限公司,旺欉鋁業有限公司,富達證券投資信託股份有限公司,太陽能,138,2025,2026-03-28
碩天科技大樓管理負責人,碩天科技大樓,碩天科技股份有限公司,太陽能,16.141,2025,2026-03-27
強新工業股份有限公司,強新I倉,新加坡商坦密諾斯軟件有限公司台灣分公司,太陽能,35,2025,2026-03-27
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,渣打國際商業銀行股份有限公司,生質能,"1,800",2025,2026-03-27
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,新加坡商瑞銀證券股份有限公司台北分公司,太陽能,1,2025,2026-03-27
英特盛科技股份有限公司,廠區一1635.9KW,露露樂蒙股份有限公司,太陽能,"1,078",2025,2026-03-27
永純化學工業股份有限公司,永純化學工業股份有限公司-永固廠,德商汐威離岸電纜鋪設工程股份有限公司台灣分公司,太陽能,7,2025,2026-03-26
晃誼科技股份有限公司,晃誼科技-1,德商汐威離岸電纜鋪設工程股份有限公司台灣分公司,太陽能,88,2025,2026-03-26
鑫永銓股份有限公司,鑫永銓股份有限公司,德商汐威離岸電纜鋪設工程股份有限公司台灣分公司,太陽能,142,2025,2026-03-25
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,香港商雷夫羅倫有限公司台灣分公司,生質能,100,2025,2026-03-24
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,香港商雷夫羅倫有限公司台灣分公司,生質能,50,2025,2026-03-24
彩麗實業股份有限公司,彩麗實業股份有限公司(一期高壓),富達證券投資信託股份有限公司,太陽能,61,2025,2026-03-23
彩麗實業股份有限公司,彩麗實業股份有限公司(二期低壓),富達證券投資信託股份有限公司,太陽能,8,2025,2026-03-23
強新工業股份有限公司,強新I倉,英濟股份有限公司,太陽能,25,2025,2026-03-23
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,法台化學股份有限公司,生質能,50,2025,2026-03-23
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台英帝國菸草製造股份有限公司,生質能,60,2025,2026-03-23
臺北市政府產業發展局,臺北市政府產業發展局 士東市場,雲豹能源科技股份有限公司,太陽能,26,2025,2026-03-23
臺北市政府產業發展局,臺北市政府產業發展局新生公園未來館,雲豹能源科技股份有限公司,太陽能,46,2025,2026-03-23
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,台英帝國菸草製造股份有限公司,生質能,129,2025,2026-03-23
中華紙漿股份有限公司,中華紙漿股份有限公司花蓮廠,中厚化學股份有限公司,生質能,25,2025,2026-03-23
道達爾能源股份有限公司,道達爾能源股份有限公司,富達證券投資信託股份有限公司,太陽能,112,2025,2026-03-21
旺欉鋁業有限公司,旺欉鋁業有限公司,荷蘭商飯山有限公司 (台灣辦公室),太陽能,8,2025,2026-03-21
璟鋒工業股份有限公司,璟鋒工業股份有限公司,台灣艾司摩爾股份有限公司,太陽能,65,2025,2026-03-21
易宏熱鍍鋅工業股份有限公司,易宏熱鍍鋅工業股份有限公司,台灣歐特克股份有限公司,太陽能,299,2025,2026-03-21
道達爾能源股份有限公司,道達爾能源股份有限公司,台灣諾基亞通信股份有限公司,太陽能,13,2025,2026-03-21
億萬年貿易股份有限公司,億萬年貿易股份有限公司,台灣艾司摩爾股份有限公司,太陽能,85,2025,2026-03-20
台灣糖業股份有限公司虎尾糖廠,台糖虎尾糖廠,台灣積體電路製造股份有限公司,生質能,"4,438",2025,2026-03-19
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,新加坡商瑞銀證券股份有限公司台北分公司,太陽能,42,2025,2026-03-19
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,瑞士商瑞士銀行股份有限公司台北分公司,太陽能,42,2025,2026-03-19
全日大林冷鏈股份有限公司,全日大林冷鏈股份有限公司,瑞銀證券投資信託股份有限公司,太陽能,9,2025,2026-03-19
農友種苗股份有限公司,農友種苗,台灣優衣庫有限公司,太陽能,30,2025,2026-03-19
